,layer,nodes,lr,batch,runtime,trainAcc,testAcc
0,8,2,0.001,8,1299.6655015830183,20.556667,tensor(20.6500)
0,8,2,0.001,16,645.1958725830191,11.236667,tensor(11.3500)
0,8,2,0.001,32,386.904934124992,11.236667,tensor(11.3500)
0,8,2,0.001,64,263.4312856250035,11.232657,tensor(11.3500)
0,8,2,0.001,128,200.43801062498824,55.84769,tensor(55.2800)
0,8,4,0.001,8,1194.1492120419862,34.305,tensor(34.4800)
0,8,4,0.001,16,668.7639179590042,11.236667,tensor(11.3500)
0,8,4,0.001,32,399.83431920799194,61.086666,tensor(60.5000)
0,8,4,0.001,64,265.7864752500027,11.23766,tensor(11.3500)
0,8,4,0.001,128,871.7526586250169,73.92661,tensor(73.6400)
0,8,8,0.001,8,1913.5164327080129,70.785,tensor(71.9600)
0,8,8,0.001,16,685.0315341250098,78.57166,tensor(77.6700)
0,8,8,0.001,32,406.69032987501123,88.92667,tensor(88.5700)
0,8,8,0.001,64,1029.0024708330166,83.13434,tensor(82.7300)
0,8,8,0.001,128,1001.1284497500164,91.77851,tensor(91.5600)
0,8,16,0.001,8,1265.065342707996,72.19833,tensor(77.2700)
0,8,16,0.001,16,697.0210279160237,87.95333,tensor(87.8700)
0,8,16,0.001,32,2022.6848622910038,83.07667,tensor(81.6200)
0,8,16,0.001,64,1270.2810022079793,89.44937,tensor(88.4700)
0,8,16,0.001,128,1054.3650415000156,93.82512,tensor(93.5000)
0,8,32,0.001,8,1387.0965271670138,20.001667,tensor(20.6400)
0,8,32,0.001,16,4548.951665041008,88.91,tensor(89.0400)
0,8,32,0.001,32,2238.1273807079997,82.73,tensor(84.0900)
0,8,32,0.001,64,1525.5925202499784,85.00533,tensor(84.6100)
0,8,32,0.001,128,1217.2306640419993,91.67168,tensor(88.8600)
